Kalimat;Kelompok
Tolong bawa tas ini ke mobil.;perintah
Petani menanam bibit-bibit pohon di lahan mereka untuk mencegah erosi tanah.;pernyataan
Pengusaha membuka usaha baru di pusat perbelanjaan yang ramai.;pernyataan
Kapan ujian akhir semester dimulai?;pertanyaan
Saya akan mengirim paket itu besok.;pernyataan
Sepotong roti hangat disajikan di atas meja.;pernyataan
Di mana kamu mendapatkan buku itu?;pertanyaan
Jangan berteriak di dalam rumah.;perintah
Mengapa kamu memilih kursus ini?;pertanyaan
Dia sedang mempersiapkan presentasi.;pernyataan
Siapa yang akan datang ke rapat?;pertanyaan
Kami selalu makan malam bersama keluarga.;pernyataan
Saya baru saja membeli mobil baru.;pernyataan
Konsultan bisnis memberikan saran-saran strategis kepada klien-klien mereka.;pernyataan
Siapa yang akan menemani kita?;pertanyaan
Seorang penjaga malam menjaga pintu gerbang istana, memastikan keamanan kerajaan di malam hari.;pernyataan
Wajah-wajah ceria memenuhi ruangan saat keluarga berkumpul untuk merayakan momen bahagia bersama.;pernyataan
Jangan bermain di jalan.;perintah
Mengapa kamu terlambat datang ke kantor?;pertanyaan
Ilmuwan astronomi mengamati planet-planet di luar angkasa melalui teleskop.;pernyataan
Cepat selesaikan laporan.;perintah
Petugas pajak mengumpulkan pajak dari warga-warga yang membayar pajak.;pernyataan
Tolong atur jadwal rapat dengan klien.;perintah
Berikan laporan itu ke manajer.;perintah
Segera perbaiki komputer ini.;perintah
Kami akan pergi ke bioskop besok.;pernyataan
Bawa surat ini ke kantor pos.;perintah
Malam yang gelap dihiasi oleh gemerlap bintang di langit.;pernyataan
Tutup jendela saat keluar rumah.;perintah
Di musium seni, seseorang terpesona oleh lukisan-lukisan indah yang dipajang di dinding-dinding putih.;pernyataan
Cepat simpan data di komputer.;perintah
Pengrajin kaca membentuk kaca-kaca dengan keahlian di studio kaca mereka.;pernyataan
Jangan bicara saat saya berbicara.;perintah
Kami akan berangkat pukul sembilan.;pernyataan
Jangan merokok di area ini.;perintah
Jangan lupa membawa payung.;perintah
Kami sering berjalan-jalan di taman sore hari.;pernyataan
Sopir truk mengangkut barang-barang dari satu kota ke kota lainnya.;pernyataan
Suara gemuruh ombak memecah pantai, menyusuri tepi laut dengan kekuatan yang memukau.;pernyataan
Di mana kita bisa membeli tiket kereta api?;pertanyaan
Fotografer mengambil gambar-gambar indah dari alam liar.;pernyataan
Kapan kita akan mengadakan rapat?;pertanyaan
Saya sudah menulis artikel itu.;pernyataan
Tolong atur jadwal rapat.;perintah
Aroma kopi segar menyapa pengunjung di kedai kopi, menemani percakapan yang hangat di antara teman-teman.;pernyataan
Dendang burung mengisi pagi hari, memberikan sambutan hangat untuk memulai hari dengan semangat.;pernyataan
Di mana kita bisa membeli bahan ini?;pertanyaan
Saya suka menghabiskan waktu di taman.;pernyataan
Jangan berbicara saat orang lain berbicara.;perintah
Kami sering bermain sepak bola di sore hari.;pernyataan
Jangan duduk di kursi itu.;perintah
Cepat selesaikan pekerjaan ini.;perintah
Ambilkan buku dari rak itu.;perintah
Tolong atur jadwal pertemuan dengan klien.;perintah
Segera kirimkan faktur ini.;perintah
Pengacara membela klien mereka di ruang sidang pengadilan.;pernyataan
Di arena olahraga, seseorang menonton pertandingan sepak bola yang seru, mendukung tim favorit mereka dengan semangat.;pernyataan
Saya sudah membersihkan kamar.;pernyataan
Saya sangat menikmati makanan di restoran itu.;pernyataan
Apakah kamu sudah mandi?;pertanyaan
Di mana kamu menyimpan dokumen penting?;pertanyaan
Cepat kirimkan surat ini ke kantor pos.;perintah
Tolong nyalakan lampu.;perintah
Saya sangat senang dengan hasil ujiannya.;pernyataan
Di mana kita bisa menemukan toko buku?;pertanyaan
Dia sedang mengerjakan proyek besar.;pernyataan
Saya sudah menyelesaikan pekerjaan rumah.;pernyataan
Tolong nyalakan lampu di ruang tamu.;perintah
Mengapa kamu tidak memberitahu saya lebih awal?;pertanyaan
Segera kirimkan laporan itu.;perintah
Di mana kita bisa menemukan tempat itu?;pertanyaan
Tolong masukkan baju ke mesin cuci.;perintah
Mengapa kamu tidak datang ke acara itu?;pertanyaan
Tukang kayu membuat mebel-mebel kayu yang indah di bengkelnya.;pernyataan
Dia selalu datang tepat waktu.;pernyataan
Kami akan berlibur ke pantai minggu depan.;pernyataan
Tolong matikan kipas angin.;perintah
Berikan catatan ini kepada guru.;perintah
Bagaimana cara menghubungi dia?;pertanyaan
Apakah kamu pernah mendengar berita itu?;pertanyaan
Di mana kamu biasanya berolahraga?;pertanyaan
Seseorang mengunjungi taman binatang, menikmati menonton berbagai binatang yang menggemaskan dan eksotis.;pernyataan
Mengapa kamu tidak memberitahu saya?;pertanyaan
Tolong tuliskan alamatnya di sini.;perintah
Suara riuh rendah pecah dari pasar, dengan pedagang dan pembeli bertransaksi dengan antusias.;pernyataan
Cepat bersihkan meja ini.;perintah
Kami sudah merencanakan liburan keluarga.;pernyataan
Mengapa kamu tidak menjawab pesan saya?;pertanyaan
Hidupkan kipas angin di ruangan ini.;perintah
Di mana kita akan bertemu nanti?;pertanyaan
Jangan makan di sini.;perintah
Bagaimana kamu bisa melupakan hal itu?;pertanyaan
Diplomat berunding dengan diplomat-diplomat dari negara-negara lain di konferensi internasional.;pernyataan
Ahli matematika menyelesaikan teka-teki yang rumit, menggunakan logika dan pemikirannya yang tajam.;pernyataan
Apakah kamu yakin dengan jawabannya?;pertanyaan
Jangan lupa membawa buku itu.;perintah
Seorang diplomat negara menegosiasikan perjanjian-perjanjian diplomatik dengan negara lain.;pernyataan
Segera perbaiki mesin kopi ini.;pernyataan
Saya akan mengirim email itu segera.;pernyataan
Kapan waktu terbaik untuk berkunjung?;pertanyaan
Segera kirim email ini ke seluruh tim.;perintah
